seiten;datum;typ;detail;betrag;titel;bezahlt_am
46-47;2021-01-25;rechnung_definitiv;Schlussrechnung-2020;13245.70;Schlussrechnung 2020 - Basis 88500.00, Ratenzahlung beantragt;2021-05-05
48;2020-08-24;rechnung_definitiv;Nachtragsrechnung-2019;1106.30;Nachtragsrechnung 2019 - Basis 59571.00 nach Nachtrag zur Lohndeklaration;2020-09-23
49-50;2020-02-17;rechnung_definitiv;Schlussrechnung-2019;7648.10;Schlussrechnung 2019 (01.04.-31.12.2019) - Basis 52000.00, inkl. Verzugszins 49.60;2020-06-08
51-56;2025-11-19;brief;Lohndeklaration-2025;;Aufforderung Lohndeklaration 2025, Frist 30.01.2026 - eingereicht erst 10.02.2026;
57;2024-11-20;brief;Lohndeklaration-2024;;Aufforderung Lohndeklaration 2024, Frist 30.01.2025 - eingereicht 03.02.2025;
58-61;2023-11-22;brief;Lohndeklaration-2023;;Aufforderung Lohndeklaration 2023, Frist 30.01.2024 - abgeschickt 02.02.2024;
62-63;2023-03-29;verfuegung;Verzugszins-2022;36.50;Verfuegung Verzugszinsen auf der Schlussrechnung 2022 (4533.60, 58 Tage);
64-65;2023-02-16;brief;Verwaltungskosten-2023;;Informationsschreiben Verwaltungskostenbeitraege ab 01.01.2023 - reduzierter Satz bei Nutzung des AHVeasy-Portals;
66-68;2022-11-24;brief;Lohndeklaration-2022;;Aufforderung Lohndeklaration 2022, Frist 30.01.2023 - eingereicht via AHVeasy am 30.01.2023 (fristgerecht);
69;2022-09-02;brief;CO2-Rueckverteilung-2022;75.40;CO2-Abgabe 2022 - Rueckverteilung an Unternehmen, Basis AHV-Lohnsumme 2020 von 88500.00;
70-74;2022-07-19;verfuegung;Verzugszins-2021;55.95;Verfuegung Verzugszinsen auf der Schlussrechnung 2021 (7130.45, 58 Tage);
75;2019-06-07;vertrag;Erfassung-Arbeitgeber;;Erfassung als Arbeitgeber bei der AHV-Ausgleichskasse Graubuenden, Abrechnungs-Nr. 10.000.969 - erfasst ab 01.04.2019 (Handnotiz Daniel - richtig waere 1. Mai);
